delta_(+) or Re_( tau),H,U_(oo+),Re_(1)^('),f_(1)^('),beta,theta_(+),Case
1010,1.356,22.506,4.1857e8,2.4120e-6,-0.2292,85,1
1956,1.309,23.955,1.8152e9,1.0778e-6,-0.2085,156,1
4048,1.278,25.816,9.0598e9,4.4681e-7,-0.1880,297,1
5895,1.269,26.957,2.1519e10,2.7392e-7,-0.1800,417,1
183,1.617,18.371,8.7420e6,2.0933e-5,-0.2799,16,2
550,1.402,20.777,1.0328e8,5.3253e-6,-0.2441,48,2
999,1.350,22.412,4.0033e8,2.4954e-6,-0.2314,86,2
2022,1.305,24.101,1.9314e9,1.0469e-6,-0.2114,164,2
4079,1.271,25.954,9.2826e9,4.3942e-7,-0.1923,309,2
5186,1.259,26.575,1.5824e10,3.2772e-7,-0.1860,383,3
1995,1.307,24.396,1.9232e9,1.0373e-6,-0.2131,163,3
1000,1.349,22.593,4.0798e8,2.4511e-6,-0.2306,85,3
851,1.366,23.043,2.9890e8,2.8469e-6,-0.2566,81,4
1091,1.353,23.654,5.1902e8,2.1012e-6,-0.2530,102,4
1430,1.340,24.314,9.5054e8,1.5047e-6,-0.2451,132,4
1818,1.330,24.940,1.6225e9,1.1206e-6,-0.2409,158,4
3321,1.301,26.192,6.0712e9,5.4696e-7,-0.2233,285,4
5050,1.283,27.284,1.5396e10,3.2803e-7,-0.2126,418,4
6595,1.271,27.695,2.7264e10,2.4188e-7,-0.2045,530,4
8509,1.264,28.354,4.7821e10,1.7792e-7,-0.1991,670,4
10878,1.256,28.843,8.1286e10,1.3382e-7,-0.1940,840,4
14800,1.249,29.617,1.5952e11,9.2777e-8,-0.1886,1117,4
19709,1.241,30.291,2.9714e11,6.6329e-8,-0.1842,1462,4
25166,1.235,30.887,5.0414e11,4.9918e-8,-0.1830,1865,4
32836,1.231,31.588,9.0123e11,3.6435e-8,-0.1791,2389,4
54358,1.222,32.743,2.6718e12,2.0345e-8,-0.1722,3830,4
76406,1.216,33.456,5.5271e12,1.3824e-8,-0.1692,5317,4
102110,1.213,34.246,1.0356e13,9.8598e-9,-0.1678,7063,4
127380,1.211,34.846,1.6736e13,7.6111e-9,-0.1648,8674,4
165290,1.206,35.510,2.9267e13,5.6476e-9,-0.1645,11276,4
216190,1.203,36.011,5.1578e13,4.1915e-9,-0.1627,14621,4
283230,1.199,36.559,9.1645e13,3.0905e-9,-0.1584,18701,4
528860,1.193,37.900,3.4819e14,1.5189e-9,-0.1450,32157,4
181,1.628,19.132,9.1387e6,1.9812e-5,-0.2952,16,5
361,1.469,20.605,4.2548e7,8.4897e-6,-0.2760,34,5
550,1.416,21.796,1.1051e8,4.9773e-6,-0.2710,53,5
999,1.367,23.430,4.2714e8,2.3389e-6,-0.2546,93,5
171,1.652,18.885,7.9988e6,2.1435e-5,-0.2953,15,6
500,1.431,21.444,8.8707e7,5.6393e-6,-0.2698,47,6
1002,1.373,23.569,4.3178e8,2.3204e-6,-0.2612,95,6
2003,1.323,24.961,2.0131e9,9.9511e-7,-0.2220,168,6
2568,1.350,27.320,3.5878e9,7.1579e-7,0,296,7
3914,1.329,28.636,9.2575e9,4.2274e-7,0,442,8
6575,1.309,30.038,2.9126e10,2.2576e-7,0,721,8
7925,1.295,30.223,4.3183e10,1.8353e-7,0,854,8
10748,1.291,31.211,8.5372e10,1.2589e-7,0,1132,8
10768,1.286,31.288,8.5568e10,1.2584e-7,0,1159,9
2622,1.348,27.641,3.8238e9,6.8558e-7,0,302,10
4635,1.315,29.110,1.3508e10,3.4310e-7,0,516,10
8261,1.289,30.550,4.8297e10,1.7105e-7,0,873,10
14717,1.262,31.931,1.7143e11,8.5846e-8,0,1467,10
25062,1.247,33.294,5.4761e11,4.5766e-8,0,2383,10
40053,1.238,34.546,1.5096e12,2.6531e-8,0,3784,10
72526,1.230,35.964,5.4698e12,1.3259e-8,0,6459,10
594,1.433,22.399,1.3020e8,4.5640e-6,0,65,11
1084,1.385,24.411,5.1505e8,2.1043e-6,0,120,11
1700,1.364,26.066,1.4275e9,1.1911e-6,0,197,11
4348,1.311,27.988,1.1143e10,3.9018e-7,0,466,11
11778,1.274,29.955,9.9160e10,1.1878e-7,0,1054,11
1149,1.395,25.433,6.0272e8,1.9063e-6,0,141,12
1124,1.397,25.363,5.7277e8,1.9624e-6,0,138,12
846,1.409,24.358,3.0034e8,2.8168e-6,0,103,12
1400,1.377,25.841,9.3461e8,1.4979e-6,0,168,12
1715,1.364,26.364,1.4707e9,1.1661e-6,0,441,12
1808,1.361,26.472,1.6505e9,1.0954e-6,0,214,12
2016,1.354,26.688,2.0951e9,9.6226e-7,0,236,12
790,1.410,"24,185",2.5889e8,3.0515e-6,0,95,12
828,1.407,24.339,2.8803e8,2.8747e-6,0,100,12
1112,1.394,25.351,5.6125e8,1.9813e-6,0,136,12
1153,1.392,25.468,6.1063e8,1.8882e-6,0,141,12
1276,1.385,25.849,7.7242e8,1.6520e-6,0,155,12
1666,1.374,26.582,1.3970e9,1.1926e-6,0,202,12
1781,1.370,26.690,1.6119e9,1.1049e-6,0,215,12
445,1.437,21.677,6.7406e7,6.6087e-6,0,51,13
578,1.424,22.834,1.2461e8,4.6366e-6,0,68,13
690,1.418,23.663,1.8955e8,3.6424e-6,0,83,13
1307,1.381,25.689,8.1064e8,1.6122e-6,0,154,13
1437,1.379,26.113,1.0101e9,1.4227e-6,0,171,13
1571,1.376,26.457,1.2384e9,1.2687e-6,0,187,13
1709,1.373,26.753,1.4994e9,1.1401e-6,0,204,13
1848,1.370,26.985,1.7824e9,1.0366e-6,0,221,13
1989,1.366,27.182,2.0989e9,9.4786e-7,0,237,13
1272,1.392,25.946,7.7169e8,1.6477e-6,0,155,14
1245,1.393,25.876,7.3532e8,1.6928e-6,0,152,14
1145,1.397,25.584,6.0732e8,1.8856e-6,0,140,14
2474,1.294,25.525,3.0587e9,8.0886e-7,-0.4200,251,15
733,1.417,22.440,2.1923e8,3.3434e-6,-0.7099,58,16
739,1.430,22.397,2.2295e8,3.3153e-6,-0.7027,57,16
586,1.427,22.336,1.3739e8,4.2637e-6,-0.7163,48,16
610,1.435,22.336,1.5053e8,4.0544e-6,-0.7195,48,16
1497,1.292,22.500,8.8340e8,1.6940e-6,-1.5000,144,17
1410,1.246,21.108,7.3945e8,1.9072e-6,-1.5000,104,17
1493,1.236,19.920,7.8054e8,1.9128e-6,-1.5000,78,17
1186,1.293,20.120,5.2299e8,2.2669e-6,-1.2500,42,17
392,1.436,20.015,4.8517e7,8.0741e-6,-0.5900,34,18
253,1.530,19.577,1.9314e7,1.3086e-5,-0.6140,21,18
223,1.554,19.418,1.4521e7,1.5332e-5,-0.6160,19,18
172,1.593,19.219,7.3621e6,2.3302e-5,-0.1200,21,19
300,1.488,20.842,2.7725e7,1.0838e-5,-0.1100,35,19
322,1.474,20.921,3.1958e7,1.0061e-5,-0.1600,38,19
101,1.810,17.954,2.4591e6,4.1261e-5,-0.0102,9,20
120,1.747,20.056,3.9027e6,3.0689e-5,-0.0620,14,20
172,1.599,19.511,7.7346e6,2.2200e-5,-0.1024,21,20
95,1.844,19.314,2.2856e6,4.1775e-5,-0.0228,11,21
204,1.567,19.953,1.1412e7,1.7856e-5,-0.0278,25,21
278,1.508,20.544,2.2783e7,1.2212e-5,-0.0874,34,21
191,1.587,19.795,1.0508e7,1.8164e-5,-0.0093,19,22
385,1.454,21.724,4.9754e7,7.7428e-6,-0.0199,45,22
512,1.425,22.677,9.5539e7,5.3543e-6,-0.0671,61,22
2990,1.438,31.061,5.8890e9,5.0765e-7,1.7400,389,23
1511,1.604,31.954,1.4198e9,1.0640e-6,4.3900,227,24
2203,1.579,33.407,3.3009e9,6.6752e-7,4.4000,334,24
3052,1.546,33.838,6.6228e9,4.6080e-7,4.5300,454,24
3601,1.536,33.961,9.4825e9,3.7972e-7,4.4000,519,24
223,1.636,21.827,1.4857e7,1.5026e-5,0.6500,32,25
1339,1.341,24.959,8.5443e8,1.5666e-6,-0.1700,134,26
1372,1.291,23.152,7.9729e8,1.7203e-6,-0.0700,125,26
1379,1.529,26.966,1.0216e9,1.3495e-6,2.0700,142,26
1417,1.398,27.000,1.0768e9,1.3161e-6,1.7400,156,26
1486,1.424,27.993,1.2571e6,1.1824e-6,1.6000,168,26
1522,1.463,28.235,1.3032e9,1.1683e-6,2.3100,182,26
1506,1.484,29.927,1.4063e9,1.0710e-6,1.3800,187,26
5780,1.262,27.932,2.0917e10,2.7631e-7,-0.0700,504,27
5375,1.219,25.705,1.5801e10,3.4015e-7,-0.5300,417,27
6215,1.310,30.246,2.7719e10,2.2421e-7,2.9400,580,27
6385,1.318,30.881,3.0423e10,2.0987e-7,2.3800,599,27
6363,1.339,31.650,3.1284e10,2.0338e-7,1.6400,622,27
6332,1.353,32.172,3.1383e10,2.0177e-7,2.7400,656,27
6072,1.375,33.018,3.0011e10,2.0234e-7,2.4300,648,27
3694,2.054,49.167,1.7013e10,2.1713e-7,30.6700,586,28
3943,1.831,42.605,1.5778e10,2.4990e-7,23.5600,614,28
4034,1.696,39.833,1.5353e10,2.6274e-7,18.4700,607,28
4051,1.511,34.050,1.2335e10,3.2840e-7,9.8800,567,28
4105,1.416,31.623,1.1413e10,3.5969e-7,5.5800,548,28
4011,1.365,30.130,1.0178e10,3.9410e-7,2.4300,514,28
3237,1.898,44.444,1.1443e10,2.8291e-7,27.6290,500,29
3342,1.632,38.372,1.0266e10,3.2560e-7,16.6539,477,29
3328,1.531,36.216,9.5248e9,3.4939e-7,12.3705,453,29
3563,1.400,31.102,8.6194e9,4.1340e-7,5.5620,443,29
3505,1.336,28.270,7.3487e9,4.7689e-7,1.9994,377,29
3308,1.322,27.709,6.2523e9,5.2912e-7,0,365,29
2294,1.979,46.560,6.0410e9,3.7974e-7,35.9000,362,30
2494,1.790,40.847,5.9173e9,4.2148e-7,23.4800,384,30
2668,1.629,35.253,5.4782e9,4.8702e-7,13.1500,386,30
2744,1.469,31.346,4.9622e9,5.5298e-7,6.1300,366,30
1949,1.958,39.900,3.3010e6,5.9034e-7,26.2613,299,31
2019,1.710,36.300,3.2072 xx10^(@),6.2943e-7,17.1873,300,31
1967,1.570,34.036,2.8928e7,6.7995e-7,11.5392,271,31
2088,1.431,29.709,2.6747e6,7.8068e-7,5.6302,262,31
2142,1.378,27.235,2.4691e6,8.6740e-7,2.0967,247,31
2016,1.359,26.586,2.0776e7,9.7016e-7,0,236,31
1196,1.870,39.615,1.2405e0,9.6409e-7,19.3100,186,32
1242,1.678,34.204,1.0776e7,1.1526e-4,11.4400,187,32
1259,1.569,31.420,9.8921e7,1.2727e-4,7.5600,180,32
1352,1.449,27.837,9.6327e7,1.4035e-6,2.5600,177,32
480,1.915,33.850,1.3240e1,3.6234e-6,"4,4709",82,
405,1.887,32.408,8.7709e7,4.6184e-6,4.2817,69,
560,1.900,"34,309",1.8723e1,2.9894e-4,4.2572,95,
637,1.870,34.017,2.4004e8,2.6525e-6,3.7114,108,
341,1.790,28.864,5.2303e7,6.5136e-6,3.2990,56,
705,1.825,33.942,2.9977e6,2.3521e-5,3.0694,119,
350,1.769,28.238,5.3243e7,6.5697e-5,2.7128,57,
429,1.795,29.986,8.8326e7,4.8594e-6,2.7597,72,
592,1.749,30.764,1.8177e7,3.2542e-6,2.3623,97,
738,1.689,30.604,2.8857e8,2.5571e-4,1.9150,119,
363,1.691,26.301,5.1960e7,6.9779e-4,1.5605,58,
450,1.668,"27,063",8.5367e7,5.2698e-6,1.3476,72,
608,1.608,27.525,1.6711e1,3.6379e-6,1.0929,94,
743,1567,27.712,2.5891e8,2.8704e-5,0.9508,113,
509,1.719,29.109,1.2189e8,4.1785e-6,2.1266,83,
663,1.686,29.993,2.2530e7,2.9435e-6,2.0024,106,
523,1.601,26.462,1.1541e1,4.5325e-4,1.0049,80,
659,1.570,27.178,1.9639e4,3.3568e-6,0.9219,100,
330,1.983,33.292,5.8540e7,5.6297e-6,9.0000,57,
350,1.741,27.428,5.1269e7,6.8284e-6,2.2000,57,
363,1.588,24.195,4.8292e7,7.5206e-4,0.7300,53,
233,1.591,22.032,1.7284e7,1.3500e-3,0.6000,31,
366,1.736,29.052,6.3362e7,5.7710e-6,4.1000,59,
131,1.710,19.264,4.6621e6,2.8139e-3,-0.0255,13,
188,1.668,22.336,1.0889e7,1.7224e-5,0.9935,27,
231,1.787,27.666,2.2837e7,1.0104e-5,3.9832,36,
164,1.632,19.391,6.9246e6,2.3672e-3,-0.0189,20,
289,1.618,23.456,2.8375e7,1.0202e-5,0.8879,43,
369,1.733,28.495,6.2397e7,5.9116e-5,3.5693,59,
289,1.498,21.046,2.6670e7,1.0850e-5,-0.0087,33,
534,1.523,25.535,1.1939e7,4.4698e-6,0.7714,76,
698,1.619,29.809,2.5820e4,2.7041e-5,2.9236,108,
350,1.510,22.108,4.2033e7,8.3385e-6,0,42,
358,1.519,22.994,4.6770e7,7.6570e-6,0,44,
356,1.524,23.456,4.7068e7,7.5531e-5,0,46,
360,1.527,23.823,4.9728e7,7.2444e-6,0,46,
769,1.405,23.174,2.3206e4,3.3127e-4,0,86,